ID,Type,Value
0,,0
1,Heart,1
2,Heart,2
3,Heart,3
4,Heart,4
5,Heart,5
6,Heart,6
7,Heart,7
8,Heart,8
9,Heart,9
10,Heart,10
11,Heart,11
12,Heart,12
13,Heart,13
14,Spade,1
15,Spade,2
16,Spade,3
17,Spade,4
18,Spade,5
19,Spade,6
20,Spade,7
21,Spade,8
22,Spade,9
23,Spade,10
24,Spade,11
25,Spade,12
26,Spade,13
27,Diamond,1
28,Diamond,2
29,Diamond,3
30,Diamond,4
31,Diamond,5
32,Diamond,6
33,Diamond,7
34,Diamond,8
35,Diamond,9
36,Diamond,10
37,Diamond,11
38,Diamond,12
39,Diamond,13
40,Club,1
41,Club,2
42,Club,3
43,Club,4
44,Club,5
45,Club,6
46,Club,7
47,Club,8
48,Club,9
49,Club,10
50,Club,11
51,Club,12
52,Club,13
